commodity,unit,observations,unique_dates,canonical_key
काउली स्थानिय,केजी,4451,4451,काउलीस्थानिय
अदुवा,केजी,4447,4447,अदुवा
खु्र्सानी सुकेको,केजी,4446,4446,खु्र्सानीसुकेको
तामा,केजी,4441,4441,तामा
रायो साग,केजी,4440,4440,रायोसाग
बन्दा(लोकल),केजी,4439,4439,बन्दालोकल
घिउ सिमी(लोकल),केजी,4438,4438,घिउसिमीलोकल
हरियो धनिया,केजी,4438,4438,हरियोधनिया
गाजर(लोकल),केजी,4434,4434,गाजरलोकल
प्याज हरियो,केजी,4432,4432,प्याजहरियो
भन्टा लाम्चो,केजी,4427,4427,भन्टालाम्चो
च्याउ(कन्य),केजी,4423,4423,च्याउकन्य
केरा,दर्जन,4421,4421,केरा
कागती,केजी,4420,4420,कागती
लसुन सुकेको चाइनिज,केजी,4419,4419,लसुनसुकेकोचाइनिज
आलु रातो,केजी,4418,4418,आलुरातो
भेडे खु्र्सानी,केजी,4416,4416,भेडेखु्र्सानी
खु्र्सानी हरियो,केजी,4415,4415,खु्र्सानीहरियो
इमली,केजी,4414,4414,इमली
प्याज सुकेको (भारतीय),केजी,4413,4413,प्याजसुकेकोभारतीय
फर्सी पाकेको,केजी,4413,4413,फर्सीपाकेको
तोफु,केजी,4398,4398,तोफु
लौका,केजी,4394,4394,लौका
काक्रो(लोकल),केजी,4380,4380,काक्रोलोकल
तितो करेला,केजी,4363,4363,तितोकरेला
भिण्डी,केजी,4357,4357,भिण्डी
गोलभेडा सानो(लोकल),केजी,4352,4352,गोलभेडासानोलोकल
लसुन हरियो,केजी,4340,4340,लसुनहरियो
अनार,केजी,4327,4327,अनार
चुकुन्दर,केजी,4310,4310,चुकुन्दर
तरबुजा(हरियो),केजी,4273,4273,तरबुजाहरियो
भुई कटहर,प्रति गोटा,4251,4251,भुईकटहर
जिरीको साग,केजी,4228,4228,जिरीकोसाग
तोरीको साग,केजी,4188,4188,तोरीकोसाग
मूला सेतो(लोकल),केजी,4178,4178,मूलासेतोलोकल
पुदीना,केजी,4159,4159,पुदीना
लसुन सुकेको नेपाली,केजी,4154,4154,लसुनसुकेकोनेपाली
पालूगो साग,केजी,4149,4149,पालूगोसाग
गान्टे मूला,केजी,4096,4096,गान्टेमूला
मौसम,केजी,4094,4094,मौसम
सेलरी,केजी,4084,4084,सेलरी
गुन्दुक,केजी,3988,3988,गुन्दुक
चमसूरको साग,केजी,3826,3826,चमसूरकोसाग
स्कूस,केजी,3785,3785,स्कूस
पार्सले,केजी,3777,3777,पार्सले
भन्टा डल्लो,केजी,3650,3650,भन्टाडल्लो
गोलभेडा ठूलो(नेपाली),केजी,3636,3636,गोलभेडाठूलोनेपाली
स्याउ(झोले),केजी,3601,3601,स्याउझोले
बोडी(तने),केजी,3597,3597,बोडीतने
ब्रोकाउली,केजी,3590,3590,ब्रोकाउली
सौफको साग,केजी,3551,3551,सौफकोसाग
फर्सी हरियो(लाम्चो),केजी,3503,3503,फर्सीहरियोलाम्चो
पिंडालू,केजी,3467,3467,पिंडालू
परवर(लोकल),केजी,3453,3453,परवरलोकल
आलु सेतो,केजी,3390,3390,आलुसेतो
मेथीको साग,केजी,3390,3390,मेथीकोसाग
मेवा(नेपाली),केजी,3364,3364,मेवानेपाली
रातो बन्दा,केजी,3161,3161,रातोबन्दा
घिरौला,केजी,3148,3148,घिरौला
छ्यापी सुकेको,केजी,3107,3107,छ्यापीसुकेको
मटरकोशा,केजी,2892,2892,मटरकोशा
लप्सी,केजी,2790,2790,लप्सी
टाटे सिमी,केजी,2787,2787,टाटेसिमी
रुख कटहर,केजी,2712,2712,रुखकटहर
छ्यापी हरियो,केजी,2563,2563,छ्यापीहरियो
कुरीलो,केजी,2503,2503,कुरीलो
च्याउ(डल्ले),केजी,2485,2485,च्याउडल्ले
सेतो मूला(हाइब्रीड),केजी,2469,2469,सेतोमूलाहाइब्रीड
हरियो फर्सी(डल्लो),केजी,2458,2458,हरियोफर्सीडल्लो
काक्रो(हाइब्रीड),केजी,2453,2453,काक्रोहाइब्रीड
घिउ सिमी(हाइब्रीड),केजी,2450,2450,घिउसिमीहाइब्रीड
मेवा(भारतीय),केजी,2440,2440,मेवाभारतीय
ताजा माछा(बचुवा),केजी,2433,2433,ताजामाछाबचुवा
ताजा माछा(रहु),केजी,2431,2431,ताजामाछारहु
ताजा माछा(छडी),केजी,2430,2430,ताजामाछाछडी
बरेला,केजी,2422,2422,बरेला
न्यूरो,केजी,2355,2355,न्यूरो
ग्याठ कोबी,केजी,2348,2348,ग्याठकोबी
खुर्सानी हरियो(बुलेट),केजी,2325,2325,खुर्सानीहरियोबुलेट
आलु रातो(भारतीय),केजी,2288,2288,आलुरातोभारतीय
मूला रातो,केजी,2239,2239,मूलारातो
अंगुर(हरियो),केजी,2213,2213,अंगुरहरियो
चिचिण्डो,केजी,2204,2204,चिचिण्डो
स्याउ(फूजी),केजी,2187,2187,स्याउफूजी
खुर्सानी हरियो(माछे),केजी,2129,2129,खुर्सानीहरियोमाछे
गोलभेडा सानो(टनेल),केजी,2103,2103,गोलभेडासानोटनेल
गोलभेडा ठूलो(भारतीय),केजी,2096,2096,गोलभेडाठूलोभारतीय
सुन्तला(नेपाली),केजी,2079,2079,सुन्तलानेपाली
खुर्सानी हरियो(अकबरे),केजी,2069,2069,खुर्सानीहरियोअकबरे
नासपाती(लोकल),केजी,2066,2066,नासपातीलोकल
सखरखण्ड,केजी,1982,1982,सखरखण्ड
बकूला,केजी,1981,1981,बकूला
नासपाती(चाइनिज),केजी,1971,1971,नासपातीचाइनिज
भटमासकोशा,केजी,1940,1940,भटमासकोशा
माछा ताजा,केजी,1939,1939,माछाताजा
तरुल,केजी,1905,1905,तरुल
ताजा माछा(मुंगरी),केजी,1799,1799,ताजामाछामुंगरी
किवि,केजी,1754,1754,किवि
घिउ सिमी(राजमा),केजी,1625,1625,घिउसिमीराजमा
परवर(तराई),केजी,1596,1596,परवरतराई
मकै बोडी,केजी,1592,1592,मकैबोडी
झिगूनी,केजी,1584,1584,झिगूनी
गाजर(तराई),केजी,1538,1538,गाजरतराई
निबुवा,केजी,1507,1507,निबुवा
सलगम,केजी,1503,1503,सलगम
आभोकाडो,केजी,1495,1495,आभोकाडो
जुनार,केजी,1480,1480,जुनार
स्थानीय काउली(ज्यापु),केजी,1471,1471,स्थानीयकाउलीज्यापु
अम्बा,केजी,1414,1414,अम्बा
सजिवन,केजी,1387,1387,सजिवन
काउली तराई,केजी,1372,1372,काउलीतराई
अंगुर(कालो),केजी,1318,1318,अंगुरकालो
गोलभेडा सानो(भारतीय),केजी,1282,1282,गोलभेडासानोभारतीय
आँप(मालदह),केजी,1279,1279,आँपमालदह
सुन्तला(भारतीय),केजी,1206,1206,सुन्तलाभारतीय
गोलभेडा सानो(तराई),केजी,1153,1153,गोलभेडासानोतराई
अमला,केजी,1091,1091,अमला
आलु रातो(मुडे),केजी,1060,1060,आलुरातोमुडे
स्ट्रबेरी भुईऐसेलु,केजी,1025,1025,स्ट्रबेरीभुईऐसेलु
बन्दा(नरिवल),केजी,894,894,बन्दानरिवल
बन्दा(तराई),केजी,879,879,बन्दातराई
किनु,केजी,794,794,किनु
राजा च्याउ,केजी,706,706,राजाच्याउ
रुख टमाटर,केजी,664,664,रुखटमाटर
उखु,प्रति वटा,644,644,उखु
कोइरालो,केजी,552,552,कोइरालो
सिताके च्याउ,केजी,549,549,सिताकेच्याउ
शरीफा,के‍.जी,532,532,शरीफा
आँप(दसहरी),केजी,518,518,आँपदसहरी
लीच्ची(लोकल),केजी,419,419,लीच्चीलोकल
माछा सुकेको,केजी,244,244,माछासुकेको
लीच्ची(भारतीय),केजी,194,194,लीच्चीभारतीय
आँप(कलकत्ते),केजी,180,180,आँपकलकत्ते
आँप(चोसा),केजी,162,162,आँपचोसा
सुकेको प्याज (चाइनिज),केजी,144,144,सुकेकोप्याजचाइनिज
काक्रो(लोकलक्रस),केजी,124,124,काक्रोलोकलक्रस
तरबुजा(पाटे),केजी,56,56,तरबुजापाटे
खरबुजा,केजी,34,34,खरबुजा
चाक्सी,केजी,30,30,चाक्सी
आलु रातो(लाम्चो),केजी,16,16,आलुरातोलाम्चो
खुर्सानी हरियो(लाम्चो),केजी,16,16,खुर्सानीहरियोलाम्चो
रातो आलु(गोलो),केजी,16,16,रातोआलुगोलो
केरा(नेपाली),दर्जन,15,15,केरानेपाली
केरा(मालभोग),दर्जन,14,14,केरामालभोग
नरिवल(हरियो),केजी,9,9,नरिवलहरियो
नरिवल(काँचो),केजी,5,5,नरिवलकाँचो
हरियो मकै,प्रति वटा,2,2,हरियोमकै
