commodity,unit,latest_date,latest_bs_date,current_avg_price,baseline_median_7,baseline_mean_7,abs_change_vs_median,pct_change_vs_median,history_points,latest_history_confidence_band,latest_history_confidence_rank,latest_is_default_model_window,abs_pct_change
तरबुजा(पाटे),केजी,2025-03-22 00:00:00.000000,"चैत ०९, २०८१",233.33,37.5,34.31,195.83,522.21,56,stronger_historical,3,True,522.21
नासपाती(लोकल),केजी,2025-11-11 00:00:00.000000,"कार्तिक २५, २०८२",127.5,55.0,66.43,72.5,131.82,2066,stronger_historical,3,True,131.82
सुकेको प्याज (चाइनिज),केजी,2024-08-30 00:00:00.000000,"भदौ १४, २०८१",122.5,62.5,70.33,60.0,96.0,144,stronger_historical,3,True,96.0
जुनार,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",210.0,110.0,138.57,100.0,90.91,1483,current_live,4,True,90.91
पिंडालू,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",85.0,45.0,47.68,40.0,88.89,3479,current_live,4,True,88.89
बोडी(तने),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",26.25,58.0,60.82,-31.75,-54.74,3609,current_live,4,True,54.74
गोलभेडा सानो(तराई),केजी,2026-05-25 05:49:57.579758,"जेठ ११, २०८३",22.5,45.0,41.14,-22.5,-50.0,1153,current_live,4,True,50.0
गोलभेडा सानो(भारतीय),केजी,2026-05-26 05:13:48.159356,"जेठ १२, २०८३",27.5,55.0,49.68,-27.5,-50.0,1282,current_live,4,True,50.0
टाटे सिमी,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",65.0,125.0,113.75,-60.0,-48.0,2797,current_live,4,True,48.0
गोलभेडा सानो(लोकल),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",14.25,25.0,24.27,-10.75,-43.0,4364,current_live,4,True,43.0
आँप(मालदह),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",65.0,110.0,96.96,-45.0,-40.91,1288,current_live,4,True,40.91
लप्सी,केजी,2026-03-24 03:43:37.448715,"चैत १०, २०८२",285.0,205.0,224.64,80.0,39.02,2790,current_live,4,True,39.02
खुर्सानी हरियो(अकबरे),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",276.67,410.0,369.52,-133.33,-32.52,2074,current_live,4,True,32.52
घिउ सिमी(लोकल),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",44.0,65.0,68.75,-21.0,-32.31,4450,current_live,4,True,32.31
परवर(लोकल),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",43.75,63.75,60.54,-20.0,-31.37,3465,current_live,4,True,31.37
मकै बोडी,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",43.75,63.75,64.21,-20.0,-31.37,1604,current_live,4,True,31.37
तरुल,केजी,2026-05-23 04:52:29.888045,"जेठ ०९, २०८३",55.0,80.0,81.43,-25.0,-31.25,1905,current_live,4,True,31.25
घिउ सिमी(हाइब्रीड),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",45.0,65.0,65.36,-20.0,-30.77,2462,current_live,4,True,30.77
आँप(कलकत्ते),केजी,2025-07-23 00:00:00.000000,"साउन ०७, २०८२",135.0,190.0,152.14,-55.0,-28.95,180,stronger_historical,3,True,28.95
तोरीको साग,केजी,2026-06-03 06:17:17.060091,"जेठ २०, २०८३",45.0,35.0,37.86,10.0,28.57,4191,current_live,4,True,28.57
स्कूस,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",55.0,75.0,68.57,-20.0,-26.67,3795,current_live,4,True,26.67
आलु रातो(मुडे),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",34.0,46.0,42.07,-12.0,-26.09,1063,current_live,4,True,26.09
रायो साग,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",45.0,60.0,61.25,-15.0,-25.0,4452,current_live,4,True,25.0
हरियो फर्सी(डल्लो),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",35.0,46.25,47.86,-11.25,-24.32,2470,current_live,4,True,24.32
आँप(दसहरी),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",95.0,125.0,116.43,-30.0,-24.0,527,current_live,4,True,24.0
कागती,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",160.0,210.0,194.29,-50.0,-23.81,4432,current_live,4,True,23.81
गाजर(लोकल),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",92.5,75.0,86.75,17.5,23.33,4446,current_live,4,True,23.33
भन्टा लाम्चो,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",34.75,45.0,49.32,-10.25,-22.78,4439,current_live,4,True,22.78
काउली तराई,केजी,2026-05-11 05:07:34.402222,"बैशाख २८, २०८३",35.0,45.0,46.25,-10.0,-22.22,1372,current_live,4,True,22.22
खुर्सानी हरियो(बुलेट),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",35.0,45.0,40.71,-10.0,-22.22,2337,current_live,4,True,22.22
स्थानीय काउली(ज्यापु),केजी,2026-05-07 04:45:31.275410,"बैशाख २४, २०८३",55.0,45.0,55.71,10.0,22.22,1471,current_live,4,True,22.22
ब्रोकाउली,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",87.5,110.0,112.86,-22.5,-20.45,3600,current_live,4,True,20.45
बन्दा(तराई),केजी,2026-05-05 04:27:33.785216,"बैशाख २२, २०८३",30.0,25.0,26.43,5.0,20.0,879,current_live,4,True,20.0
भिण्डी,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",30.0,37.5,38.54,-7.5,-20.0,4369,current_live,4,True,20.0
सुन्तला(नेपाली),केजी,2026-03-21 16:56:56.332104,"चैत ०७, २०८२",140.0,175.0,168.57,-35.0,-20.0,2079,current_live,4,True,20.0
घिउ सिमी(राजमा),केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",90.0,111.25,111.07,-21.25,-19.1,1637,current_live,4,True,19.1
गान्टे मूला,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",65.0,55.0,57.14,10.0,18.18,4105,current_live,4,True,18.18
बरेला,केजी,2026-04-30 04:44:27.047553,"बैशाख १७, २०८३",65.0,55.0,56.43,10.0,18.18,2422,current_live,4,True,18.18
प्याज हरियो,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",85.0,103.75,102.32,-18.75,-18.07,4444,current_live,4,True,18.07
भटमासकोशा,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",110.0,133.0,130.79,-23.0,-17.29,1952,current_live,4,True,17.29
लौका,केजी,2026-06-10 05:48:55.659413,"जेठ २७, २०८३",55.0,66.25,67.73,-11.25,-16.98,4406,current_live,4,True,16.98
