requested_date_ad,returned_bs_date,parsed_row_count,status
2021-02-01,"माघ १९, २०७७",97.0,saved
2021-02-02,"माघ २०, २०७७",97.0,saved
2021-02-03,"माघ २१, २०७७",86.0,saved
2021-02-04,"माघ २२, २०७७",92.0,saved
2021-02-05,"माघ २३, २०७७",94.0,saved
2021-02-06,"माघ २४, २०७७",97.0,saved
2021-02-07,"माघ २५, २०७७",97.0,saved
2021-02-08,"माघ २६, २०७७",99.0,saved
2021-02-09,"माघ २७, २०७७",98.0,saved
2021-02-10,"माघ २८, २०७७",100.0,saved
2021-02-11,"माघ २९, २०७७",99.0,saved
2021-02-12,"माघ ३०, २०७७",101.0,saved
2021-02-13,"फाल्गुण ०१, २०७७",100.0,saved
2021-02-14,"फाल्गुण ०२, २०७७",100.0,saved
2021-02-15,"फाल्गुण ०३, २०७७",100.0,saved
2021-02-16,"फाल्गुण ०४, २०७७",100.0,saved
2021-02-17,"फाल्गुण ०५, २०७७",102.0,saved
2021-02-18,"फाल्गुण ०६, २०७७",99.0,saved
2021-02-19,"फाल्गुण ०७, २०७७",101.0,saved
2021-02-20,"फाल्गुण ०८, २०७७",99.0,saved
2021-02-21,"फाल्गुण ०९, २०७७",95.0,saved
2021-02-22,"फाल्गुण १०, २०७७",97.0,saved
2021-02-23,"फाल्गुण ११, २०७७",97.0,saved
2021-02-24,"फाल्गुण १२, २०७७",94.0,saved
2021-02-25,"फाल्गुण १३, २०७७",100.0,saved
2021-02-26,"फाल्गुण १४, २०७७",100.0,saved
2021-02-27,"फाल्गुण १५, २०७७",98.0,saved
2021-02-28,"फाल्गुण १६, २०७७",101.0,saved
2021-03-01,"फाल्गुण १७, २०७७",102.0,saved
2021-03-02,"फाल्गुण १८, २०७७",104.0,saved
2021-03-03,"फाल्गुण १९, २०७७",102.0,saved
2021-03-04,"फाल्गुण २०, २०७७",0.0,no_data
2021-03-05,"फाल्गुण २१, २०७७",104.0,saved
2021-03-06,"फाल्गुण २२, २०७७",105.0,saved
2021-03-07,"फाल्गुण २३, २०७७",103.0,saved
2021-03-08,"फाल्गुण २४, २०७७",105.0,saved
2021-03-09,"फाल्गुण २५, २०७७",106.0,saved
