fetched_at_utc,requested_date_ad,scrape_date_bs,commodity,unit,min_price,max_price,avg_price
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",अंगुर(कालो),केजी,330.0,350.0,342.5
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",अंगुर(हरियो),केजी,200.0,220.0,210.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",अदुवा,केजी,70.0,90.0,82.5
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",अनार,केजी,320.0,350.0,340.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",अमला,केजी,180.0,190.0,185.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",आलु रातो,केजी,16.0,21.0,18.75
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",आलु रातो(भारतीय),केजी,20.0,23.0,21.5
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",इमली,केजी,170.0,180.0,175.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",काउली तराई,केजी,40.0,50.0,45.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",काउली स्थानिय,केजी,50.0,60.0,55.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",काक्रो(लोकल),केजी,40.0,50.0,46.6
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",काक्रो(लोकलक्रस),केजी,30.0,40.0,36.6
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",काक्रो(हाइब्रीड),केजी,20.0,30.0,25.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",कागती,केजी,210.0,230.0,222.5
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",किनु,केजी,110.0,130.0,120.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",किवि,केजी,350.0,400.0,383.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",कुरीलो,केजी,350.0,400.0,362.5
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",केरा,दर्जन,200.0,220.0,210.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",कोइरालो,केजी,240.0,260.0,252.5
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",खुर्सानी हरियो(अकबरे),केजी,700.0,800.0,750.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",खुर्सानी हरियो(बुलेट),केजी,80.0,100.0,92.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",खुर्सानी हरियो(माछे),केजी,90.0,100.0,95.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",खु्र्सानी सुकेको,केजी,400.0,450.0,417.5
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",खु्र्सानी हरियो,केजी,100.0,120.0,112.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",गाजर(तराई),केजी,20.0,30.0,25.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",गाजर(लोकल),केजी,25.0,35.0,30.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",गान्टे मूला,केजी,40.0,50.0,45.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",गुन्दुक,केजी,250.0,280.0,265.0
2026-04-05T04:10:46.347293+00:00,,"चैत २२, २०८२",गोलभेडा ठूलो(भारतीय),केजी,60.0,70.0,65.0
