commodity,unit,latest_date,latest_bs_date,latest_avg_price,rolling_mean_7,rolling_median_7,next_day_forecast,forecast_delta_vs_latest,history_points,latest_history_confidence_band,latest_history_confidence_rank,latest_is_default_model_window,abs_forecast_delta
भुई कटहर,प्रति गोटा,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",210.0,162.86,155.0,155.0,-55.0,4217,current_live,4,True,55.0
च्याउ(डल्ले),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",325.0,375.12,375.0,375.0,50.0,2450,current_live,4,True,50.0
कागती,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",362.5,324.41,315.0,315.0,-47.5,4385,current_live,4,True,47.5
बोडी(तने),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",42.5,79.29,90.0,90.0,47.5,3562,current_live,4,True,47.5
चिचिण्डो,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",25.0,56.55,65.0,65.0,40.0,2172,current_live,4,True,40.0
सेलरी,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",170.0,136.43,130.0,130.0,-40.0,4049,current_live,4,True,40.0
खु्र्सानी हरियो,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",55.0,82.62,90.0,90.0,35.0,4397,current_live,4,True,35.0
घिउ सिमी(लोकल),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",15.0,42.92,50.0,50.0,35.0,4403,current_live,4,True,35.0
भटमासकोशा,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",200.0,253.21,235.0,235.0,35.0,1905,current_live,4,True,35.0
भिण्डी,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",40.0,68.99,75.0,75.0,35.0,4323,current_live,4,True,35.0
चमसूरको साग,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",75.0,96.43,105.0,105.0,30.0,3792,current_live,4,True,30.0
मेथीको साग,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",75.0,95.0,105.0,105.0,30.0,3356,current_live,4,True,30.0
सौफको साग,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",75.0,94.29,105.0,105.0,30.0,3516,current_live,4,True,30.0
स्थानीय काउली(ज्यापु),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",35.0,58.57,65.0,65.0,30.0,1457,current_live,4,True,30.0
तितो करेला,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",42.5,65.48,70.0,70.0,27.5,4328,current_live,4,True,27.5
हरियो फर्सी(डल्लो),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",15.0,36.31,42.5,42.5,27.5,2423,current_live,4,True,27.5
मटरकोशा,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",45.8,69.9,72.5,72.5,26.7,2869,current_live,4,True,26.7
काउली स्थानिय,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",27.5,43.21,50.0,50.0,22.5,4416,current_live,4,True,22.5
खुर्सानी हरियो(माछे),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",65.0,84.64,87.5,87.5,22.5,2094,current_live,4,True,22.5
काक्रो(लोकल),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",28.33,51.31,50.0,50.0,21.67,4345,current_live,4,True,21.67
काक्रो(लोकलक्रस),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",26.25,47.02,46.25,46.25,20.0,89,current_live,4,True,20.0
घिउ सिमी(हाइब्रीड),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",25.0,42.62,45.0,45.0,20.0,2415,current_live,4,True,20.0
कुरीलो,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",381.25,413.39,400.0,400.0,18.75,2468,current_live,4,True,18.75
घिरौला,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",25.0,39.05,42.5,42.5,17.5,3113,current_live,4,True,17.5
खुर्सानी हरियो(अकबरे),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",350.0,468.57,365.0,365.0,15.0,2047,current_live,4,True,15.0
च्याउ(कन्य),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",150.0,169.29,165.0,165.0,15.0,4388,current_live,4,True,15.0
भेडे खु्र्सानी,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",95.0,107.14,110.0,110.0,15.0,4381,current_live,4,True,15.0
लसुन सुकेको नेपाली,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",115.0,126.07,130.0,130.0,15.0,4119,current_live,4,True,15.0
लौका,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",15.0,26.96,30.0,30.0,15.0,4359,current_live,4,True,15.0
हरियो धनिया,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",75.0,92.58,90.0,90.0,15.0,4406,current_live,4,True,15.0
काक्रो(हाइब्रीड),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",12.5,23.81,25.0,25.0,12.5,2419,current_live,4,True,12.5
खुर्सानी हरियो(बुलेट),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",55.0,67.5,65.0,65.0,10.0,2291,current_live,4,True,10.0
गाजर(लोकल),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",55.0,45.71,45.0,45.0,-10.0,4399,current_live,4,True,10.0
छ्यापी हरियो,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",75.0,83.21,85.0,85.0,10.0,2559,current_live,4,True,10.0
ब्रोकाउली,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",50.0,66.67,60.0,60.0,10.0,3556,current_live,4,True,10.0
भन्टा डल्लो,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",55.0,64.29,65.0,65.0,10.0,3615,current_live,4,True,10.0
भन्टा लाम्चो,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",45.0,51.61,55.0,55.0,10.0,4392,current_live,4,True,10.0
सजिवन,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",95.0,105.24,105.0,105.0,10.0,1359,current_live,4,True,10.0
स्कूस,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",45.0,53.39,55.0,55.0,10.0,3756,current_live,4,True,10.0
बरेला,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",48.33,59.05,55.0,55.0,6.67,2414,current_live,4,True,6.67
प्याज हरियो,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",66.0,78.67,72.5,72.5,6.5,4397,current_live,4,True,6.5
गुन्दुक,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",230.0,242.14,235.0,235.0,5.0,3953,current_live,4,True,5.0
तामा,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",145.0,142.14,140.0,140.0,-5.0,4406,current_live,4,True,5.0
नासपाती(चाइनिज),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",245.0,240.71,240.0,240.0,-5.0,1945,current_live,4,True,5.0
परवर(तराई),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",90.0,95.0,95.0,95.0,5.0,1562,current_live,4,True,5.0
पुदीना,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",110.0,115.71,115.0,115.0,5.0,4124,current_live,4,True,5.0
फर्सी हरियो(लाम्चो),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",25.0,30.14,30.0,30.0,5.0,3468,current_live,4,True,5.0
स्याउ(फूजी),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",290.0,287.5,285.0,285.0,-5.0,2152,current_live,4,True,5.0
गाजर(तराई),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",20.5,24.79,25.0,25.0,4.5,1519,current_live,4,True,4.5
सखरखण्ड,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",75.0,70.54,71.25,71.25,-3.75,1947,current_live,4,True,3.75
आलु रातो,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",24.6,21.66,21.0,21.0,-3.6,4399,current_live,4,True,3.6
अदुवा,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",90.0,86.43,87.5,87.5,-2.5,4412,current_live,4,True,2.5
फर्सी पाकेको,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",57.5,55.36,55.0,55.0,-2.5,4378,current_live,4,True,2.5
बन्दा(लोकल),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",40.0,42.68,42.5,42.5,2.5,4404,current_live,4,True,2.5
रातो बन्दा,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",37.5,35.36,35.0,35.0,-2.5,3126,current_live,4,True,2.5
सेतो मूला(हाइब्रीड),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",28.75,27.08,27.5,27.5,-1.25,2435,current_live,4,True,1.25
गोलभेडा सानो(तराई),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",43.0,41.53,42.2,42.2,-0.8,1119,current_live,4,True,0.8
गोलभेडा सानो(भारतीय),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",38.25,36.07,37.5,37.5,-0.75,1250,current_live,4,True,0.75
गोलभेडा सानो(लोकल),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",33.25,32.54,33.0,33.0,-0.25,4317,current_live,4,True,0.25
अंगुर(कालो),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",340.0,340.0,340.0,340.0,0.0,1290,current_live,4,True,0.0
अंगुर(हरियो),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",220.0,220.0,220.0,220.0,0.0,2178,current_live,4,True,0.0
अनार,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",365.0,365.0,365.0,365.0,0.0,4292,current_live,4,True,0.0
आभोकाडो,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",700.0,700.0,700.0,700.0,0.0,1461,current_live,4,True,0.0
आलु रातो(भारतीय),केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",23.0,23.21,23.0,23.0,0.0,2260,current_live,4,True,0.0
इमली,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",175.0,175.0,175.0,175.0,0.0,4379,current_live,4,True,0.0
किवि,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",375.0,375.0,375.0,375.0,0.0,1742,current_live,4,True,0.0
कोइरालो,केजी,2026-04-21 04:21:55.080814,"बैशाख ०८, २०८३",317.5,308.21,317.5,317.5,0.0,533,current_live,4,True,0.0
