requested_date_ad,scrape_date_bs,commodity,unit,min_price,max_price,avg_price,price_issue_type,exclude_from_default_model_window,manual_review,policy_action
2021-06-15,"असार ०१, २०७८",च्याउ(कन्य),केजी,180.0,200.0,176.0,invalid_price_logic,True,False,exclude
2021-06-21,"असार ०७, २०७८",काउली स्थानिय,केजी,70.0,80.0,68.0,invalid_price_logic,True,False,exclude
2021-06-22,"असार ०८, २०७८",आलु रातो(भारतीय),केजी,30.0,32.0,29.6,invalid_price_logic,True,False,exclude
2022-09-26,"असोज १०, २०७९",कुरीलो,केजी,900.0,0.0,950.0,invalid_price_logic,True,False,exclude
2022-09-27,"असोज ११, २०७९",कुरीलो,केजी,800.0,0.0,900.0,invalid_price_logic,True,False,exclude
2022-09-28,"असोज १२, २०७९",कुरीलो,केजी,800.0,0.0,900.0,invalid_price_logic,True,False,exclude
2022-10-01,"असोज १५, २०७९",कुरीलो,केजी,800.0,0.0,900.0,invalid_price_logic,True,False,exclude
2022-10-04,"असोज १८, २०७९",कुरीलो,केजी,800.0,0.0,900.0,invalid_price_logic,True,False,exclude
2022-10-05,"असोज १९, २०७९",कुरीलो,केजी,800.0,0.0,900.0,invalid_price_logic,True,False,exclude
2022-10-19,"कार्तिक ०२, २०७९",कुरीलो,केजी,900.0,0.0,0.0,invalid_price_logic,True,False,exclude
2022-10-20,"कार्तिक ०३, २०७९",कुरीलो,केजी,900.0,0.0,950.0,invalid_price_logic,True,False,exclude
2022-10-21,"कार्तिक ०४, २०७९",कुरीलो,केजी,900.0,0.0,950.0,invalid_price_logic,True,False,exclude
2022-10-24,"कार्तिक ०७, २०७९",कुरीलो,केजी,800.0,0.0,900.0,invalid_price_logic,True,False,exclude
2022-10-25,"कार्तिक ०८, २०७९",कुरीलो,केजी,900.0,0.0,950.0,invalid_price_logic,True,False,exclude
2022-10-26,"कार्तिक ०९, २०७९",कुरीलो,केजी,900.0,0.0,950.0,invalid_price_logic,True,False,exclude
2021-03-18,"चैत ०५, २०७७",पार्सले,केजी,200.0,220.0,186.67,invalid_price_logic,True,False,exclude
2021-04-07,"चैत २५, २०७७",च्याउ(डल्ले),केजी,380.0,400.0,376.0,invalid_price_logic,True,False,exclude
2021-04-09,"चैत २७, २०७७",बन्दा(तराई),केजी,25.0,25.0,23.33,invalid_price_logic,True,False,exclude
2021-04-12,"चैत ३०, २०७७",तितो करेला,केजी,70.0,70.0,66.0,invalid_price_logic,True,False,exclude
2023-02-13,"फाल्गुण ०१, २०७९",कुरीलो,केजी,800.0,0.0,933.33,invalid_price_logic,True,False,exclude
2023-02-16,"फाल्गुण ०४, २०७९",कुरीलो,केजी,800.0,0.0,900.0,invalid_price_logic,True,False,exclude
2023-02-20,"फाल्गुण ०८, २०७९",कुरीलो,केजी,900.0,0.0,950.0,invalid_price_logic,True,False,exclude
2023-02-21,"फाल्गुण ०९, २०७९",कुरीलो,केजी,900.0,0.0,950.0,invalid_price_logic,True,False,exclude
2023-02-22,"फाल्गुण १०, २०७९",कुरीलो,केजी,800.0,0.0,900.0,invalid_price_logic,True,False,exclude
2023-02-25,"फाल्गुण १३, २०७९",कुरीलो,केजी,800.0,0.0,900.0,invalid_price_logic,True,False,exclude
2023-02-26,"फाल्गुण १४, २०७९",कुरीलो,केजी,800.0,0.0,900.0,invalid_price_logic,True,False,exclude
2021-04-26,"बैशाख १३, २०७८",खुर्सानी हरियो(माछे),केजी,80.0,90.0,78.0,invalid_price_logic,True,False,exclude
2021-04-26,"बैशाख १३, २०७८",घिउ सिमी(लोकल),केजी,110.0,120.0,108.0,invalid_price_logic,True,False,exclude
2021-04-26,"बैशाख १३, २०७८",बोडी(तने),केजी,90.0,100.0,88.0,invalid_price_logic,True,False,exclude
2021-05-01,"बैशाख १८, २०७८",च्याउ(डल्ले),केजी,280.0,300.0,276.0,invalid_price_logic,True,False,exclude
2021-05-05,"बैशाख २२, २०७८",काक्रो(हाइब्रीड),केजी,25.0,28.0,24.33,invalid_price_logic,True,False,exclude
2022-12-03,"मङ्सिर १७, २०७९",कुरीलो,केजी,800.0,0.0,900.0,invalid_price_logic,True,False,exclude
2022-12-04,"मङ्सिर १८, २०७९",कुरीलो,केजी,800.0,0.0,900.0,invalid_price_logic,True,False,exclude
2022-12-05,"मङ्सिर १९, २०७९",कुरीलो,केजी,800.0,0.0,0.0,invalid_price_logic,True,False,exclude
2022-09-20,"असोज ०४, २०७९",कुरीलो,केजी,0.0,0.0,0.0,zero_or_negative_price,True,False,exclude
2024-09-20,"असोज ०४, २०८१",पार्सले,केजी,0.0,0.0,0.0,zero_or_negative_price,True,False,exclude
2022-09-21,"असोज ०५, २०७९",कुरीलो,केजी,0.0,0.0,0.0,zero_or_negative_price,True,False,exclude
2022-09-22,"असोज ०६, २०७९",कुरीलो,केजी,0.0,0.0,0.0,zero_or_negative_price,True,False,exclude
2022-09-23,"असोज ०७, २०७९",कुरीलो,केजी,0.0,0.0,0.0,zero_or_negative_price,True,False,exclude
