requested_date_ad,scrape_date_bs,row_count,history_confidence_band,row_depth_severity,exclude_from_default_model_window,manual_review,policy_action
2013-11-01,"कार्तिक १५, २०७०",74,low_confidence_historical,normal,False,False,accept
2013-11-03,"कार्तिक १७, २०७०",71,low_confidence_historical,normal,False,False,accept
2013-11-04,"कार्तिक १८, २०७०",74,low_confidence_historical,normal,False,False,accept
2013-11-05,"कार्तिक १९, २०७०",55,low_confidence_historical,normal,False,False,accept
2013-11-06,"कार्तिक २०, २०७०",47,low_confidence_historical,normal,False,False,accept
2013-11-07,"कार्तिक २१, २०७०",65,low_confidence_historical,normal,False,False,accept
2013-11-10,"कार्तिक २४, २०७०",66,low_confidence_historical,normal,False,False,accept
2013-11-11,"कार्तिक २५, २०७०",61,low_confidence_historical,normal,False,False,accept
2013-11-12,"कार्तिक २६, २०७०",63,low_confidence_historical,normal,False,False,accept
2013-11-13,"कार्तिक २७, २०७०",64,low_confidence_historical,normal,False,False,accept
2013-11-14,"कार्तिक २८, २०७०",63,low_confidence_historical,normal,False,False,accept
2013-11-15,"कार्तिक २९, २०७०",65,low_confidence_historical,normal,False,False,accept
2013-11-16,"मङ्सिर ०१, २०७०",66,low_confidence_historical,normal,False,False,accept
2013-11-17,"मङ्सिर ०२, २०७०",64,low_confidence_historical,normal,False,False,accept
2013-11-18,"मङ्सिर ०३, २०७०",65,low_confidence_historical,normal,False,False,accept
2013-11-20,"मङ्सिर ०५, २०७०",62,low_confidence_historical,normal,False,False,accept
2013-11-21,"मङ्सिर ०६, २०७०",68,low_confidence_historical,normal,False,False,accept
2013-11-22,"मङ्सिर ०७, २०७०",71,low_confidence_historical,normal,False,False,accept
2013-11-24,"मङ्सिर ०९, २०७०",70,low_confidence_historical,normal,False,False,accept
2013-11-25,"मङ्सिर १०, २०७०",69,low_confidence_historical,normal,False,False,accept
2013-11-26,"मङ्सिर ११, २०७०",69,low_confidence_historical,normal,False,False,accept
2013-11-27,"मङ्सिर १२, २०७०",69,low_confidence_historical,normal,False,False,accept
2013-11-28,"मङ्सिर १३, २०७०",69,low_confidence_historical,normal,False,False,accept
2013-11-29,"मङ्सिर १४, २०७०",72,low_confidence_historical,normal,False,False,accept
2013-12-01,"मङ्सिर १६, २०७०",72,low_confidence_historical,normal,False,False,accept
2013-12-02,"मङ्सिर १७, २०७०",70,low_confidence_historical,normal,False,False,accept
2013-12-03,"मङ्सिर १८, २०७०",73,low_confidence_historical,normal,False,False,accept
2013-12-04,"मङ्सिर १९, २०७०",72,low_confidence_historical,normal,False,False,accept
2013-12-05,"मङ्सिर २०, २०७०",72,low_confidence_historical,normal,False,False,accept
2013-12-06,"मङ्सिर २१, २०७०",72,low_confidence_historical,normal,False,False,accept
2013-12-08,"मङ्सिर २३, २०७०",71,low_confidence_historical,normal,False,False,accept
2013-12-09,"मङ्सिर २४, २०७०",73,low_confidence_historical,normal,False,False,accept
2013-12-10,"मङ्सिर २५, २०७०",73,low_confidence_historical,normal,False,False,accept
2013-12-11,"मङ्सिर २६, २०७०",70,low_confidence_historical,normal,False,False,accept
2013-12-12,"मङ्सिर २७, २०७०",71,low_confidence_historical,normal,False,False,accept
2013-12-13,"मङ्सिर २८, २०७०",71,low_confidence_historical,normal,False,False,accept
2013-12-15,"मङ्सिर ३०, २०७०",72,low_confidence_historical,normal,False,False,accept
2013-12-16,"पुस ०१, २०७०",72,low_confidence_historical,normal,False,False,accept
2013-12-18,"पुस ०३, २०७०",75,low_confidence_historical,normal,False,False,accept
2013-12-19,"पुस ०४, २०७०",74,low_confidence_historical,normal,False,False,accept
2013-12-20,"पुस ०५, २०७०",75,low_confidence_historical,normal,False,False,accept
2013-12-22,"पुस ०७, २०७०",73,low_confidence_historical,normal,False,False,accept
2013-12-23,"पुस ०८, २०७०",77,low_confidence_historical,normal,False,False,accept
2013-12-24,"पुस ०९, २०७०",77,low_confidence_historical,normal,False,False,accept
2013-12-26,"पुस ११, २०७०",75,low_confidence_historical,normal,False,False,accept
2013-12-27,"पुस १२, २०७०",74,low_confidence_historical,normal,False,False,accept
2013-12-29,"पुस १४, २०७०",77,low_confidence_historical,normal,False,False,accept
2013-12-31,"पुस १६, २०७०",77,low_confidence_historical,normal,False,False,accept
2014-01-01,"पुस १७, २०७०",78,low_confidence_historical,normal,False,False,accept
2014-01-02,"पुस १८, २०७०",78,low_confidence_historical,normal,False,False,accept
2014-01-03,"पुस १९, २०७०",77,low_confidence_historical,normal,False,False,accept
2014-01-05,"पुस २१, २०७०",76,low_confidence_historical,normal,False,False,accept
2014-01-06,"पुस २२, २०७०",77,low_confidence_historical,normal,False,False,accept
2014-01-07,"पुस २३, २०७०",78,low_confidence_historical,normal,False,False,accept
2014-01-08,"पुस २४, २०७०",77,low_confidence_historical,normal,False,False,accept
2014-01-09,"पुस २५, २०७०",78,low_confidence_historical,normal,False,False,accept
2014-01-10,"पुस २६, २०७०",77,low_confidence_historical,normal,False,False,accept
2014-01-12,"पुस २८, २०७०",77,low_confidence_historical,normal,False,False,accept
2014-01-13,"पुस २९, २०७०",77,low_confidence_historical,normal,False,False,accept
2014-01-14,"पुस ३०, २०७०",77,low_confidence_historical,normal,False,False,accept
2014-01-16,"माघ ०२, २०७०",76,low_confidence_historical,normal,False,False,accept
2014-01-17,"माघ ०३, २०७०",76,low_confidence_historical,normal,False,False,accept
2014-01-19,"माघ ०५, २०७०",76,low_confidence_historical,normal,False,False,accept
2014-01-20,"माघ ०६, २०७०",77,low_confidence_historical,normal,False,False,accept
2014-01-21,"माघ ०७, २०७०",77,low_confidence_historical,normal,False,False,accept
2014-01-22,"माघ ०८, २०७०",75,low_confidence_historical,normal,False,False,accept
2014-01-23,"माघ ०९, २०७०",75,low_confidence_historical,normal,False,False,accept
2014-01-24,"माघ १०, २०७०",75,low_confidence_historical,normal,False,False,accept
2014-01-26,"माघ १२, २०७०",73,low_confidence_historical,normal,False,False,accept
2014-01-27,"माघ १३, २०७०",74,low_confidence_historical,normal,False,False,accept
2014-01-28,"माघ १४, २०७०",74,low_confidence_historical,normal,False,False,accept
2014-01-29,"माघ १५, २०७०",75,low_confidence_historical,normal,False,False,accept
2014-02-02,"माघ १९, २०७०",76,low_confidence_historical,normal,False,False,accept
2014-02-03,"माघ २०, २०७०",75,low_confidence_historical,normal,False,False,accept
2014-02-04,"माघ २१, २०७०",75,low_confidence_historical,normal,False,False,accept
2014-02-05,"माघ २२, २०७०",75,low_confidence_historical,normal,False,False,accept
2014-02-06,"माघ २३, २०७०",72,low_confidence_historical,normal,False,False,accept
2014-02-07,"माघ २४, २०७०",71,low_confidence_historical,normal,False,False,accept
2014-02-08,"माघ २५, २०७०",26,low_confidence_historical,low,False,True,flag_for_review
2014-02-09,"माघ २६, २०७०",75,low_confidence_historical,normal,False,False,accept
2014-02-10,"माघ २७, २०७०",75,low_confidence_historical,normal,False,False,accept
2014-02-11,"माघ २८, २०७०",74,low_confidence_historical,normal,False,False,accept
2014-02-12,"माघ २९, २०७०",77,low_confidence_historical,normal,False,False,accept
2014-02-13,"फाल्गुण ०१, २०७०",76,low_confidence_historical,normal,False,False,accept
2014-02-14,"फाल्गुण ०२, २०७०",76,low_confidence_historical,normal,False,False,accept
2014-02-16,"फाल्गुण ०४, २०७०",76,low_confidence_historical,normal,False,False,accept
2014-02-17,"फाल्गुण ०५, २०७०",76,low_confidence_historical,normal,False,False,accept
2014-02-18,"फाल्गुण ०६, २०७०",77,low_confidence_historical,normal,False,False,accept
2014-02-20,"फाल्गुण ०८, २०७०",76,low_confidence_historical,normal,False,False,accept
2014-02-21,"फाल्गुण ०९, २०७०",76,low_confidence_historical,normal,False,False,accept
2014-02-23,"फाल्गुण ११, २०७०",80,low_confidence_historical,normal,False,False,accept
2014-02-24,"फाल्गुण १२, २०७०",80,low_confidence_historical,normal,False,False,accept
2014-02-25,"फाल्गुण १३, २०७०",80,low_confidence_historical,normal,False,False,accept
2014-02-26,"फाल्गुण १४, २०७०",80,low_confidence_historical,normal,False,False,accept
2014-02-28,"फाल्गुण १६, २०७०",80,low_confidence_historical,normal,False,False,accept
2014-03-03,"फाल्गुण १९, २०७०",79,low_confidence_historical,normal,False,False,accept
2014-03-05,"फाल्गुण २१, २०७०",78,low_confidence_historical,normal,False,False,accept
2014-03-06,"फाल्गुण २२, २०७०",78,low_confidence_historical,normal,False,False,accept
2014-03-07,"फाल्गुण २३, २०७०",80,low_confidence_historical,normal,False,False,accept
2014-03-09,"फाल्गुण २५, २०७०",81,low_confidence_historical,normal,False,False,accept
2014-03-10,"फाल्गुण २६, २०७०",79,low_confidence_historical,normal,False,False,accept
